"id","Line_raw","Line","Character_raw","Character","Setting"
"id0001","This story takes place in its own universe. It has no connection to any of the DC films that have come before it.","This story takes place in its own universe. It has no connection to any of the DC films that have come before it.","CONTEXT","CONTEXT","INTRODUCTION"
"id0002","We see it as a classic Warner Bros. movie. Gritty, intimate and oddly funny, the characters live in the real world and the stakes are personal.","We see it as a classic Warner Bros. movie. Gritty, intimate and oddly funny, the characters live in the real world and the stakes are personal.","CONTEXT","CONTEXT","INTRODUCTION"
"id0003","Although it is never mentioned in the film, this story takes place in the past.","Although it is never mentioned in the film, this story takes place in the past.","CONTEXT","CONTEXT","INTRODUCTION"
"id0004","Let's call it 1981.","Let's call it 1981.","CONTEXT","CONTEXT","INTRODUCTION"
"id0005","It's a troubled time. The crime rate in Gotham is at record highs. A garbage strike has crippled the city for the past six weeks. And the divide between the ""haves"" and the ""have-nots"" is palpable. Dreams are beyond reach, slipping into delusions.","It's a troubled time. The crime rate in Gotham is at record highs. A garbage strike has crippled the city for the past six weeks. And the divide between the ""haves"" and the ""have-nots"" is palpable. Dreams are beyond reach, slipping into delusions.","CONTEXT","CONTEXT","INTRODUCTION"
"id0006","HEAR LAUGHTER.","HEAR LAUGHTER.","CONTEXT","CONTEXT","INTRODUCTION"
"id0007","The sound of a man totally cracking up.","The sound of a man totally cracking up.","CONTEXT","CONTEXT","INTRODUCTION"
"id0008","CLOSE ON JOKER (30's), tears in his eyes from laughing so hard. He's trying to get it under control. His greasy, black hair is matted down. He's wearing an old, faded red hooded zip-up sweatshirt, a threadbare gray scarf, thin from years of use, hangs loosely around his neck.","CLOSE ON JOKER , tears in his eyes from laughing so hard. He's trying to get it under control. His greasy, black hair is matted down. He's wearing an old, faded red hooded zip-up sweatshirt, a threadbare gray scarf, thin from years of use, hangs loosely around his neck.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0009","WE NOTICE TWO FADED OLD SCARS cut at the corners of his mouth. Almost forming a smile.","WE NOTICE TWO FADED OLD SCARS cut at the corners of his mouth. Almost forming a smile.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0010","He's sitting across from an overworked SOCIAL WORKER (50's), African American. Her office is cramped and run-down in a cramped and run-down building. Stacks of folders piled high in front of her.","He's sitting across from an overworked SOCIAL WORKER , African American. Her office is cramped and run-down in a cramped and run-down building. Stacks of folders piled high in front of her.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0011","She just sits behind her desk, waiting for his laughing fit to end, she's been through this before. Finally it subsides.","She just sits behind her desk, waiting for his laughing fit to end, she's been through this before. Finally it subsides.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0012","Joker takes a deep breath, pauses to see if it's over.","Joker takes a deep breath, pauses to see if it's over.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0013","Beat.","Beat.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0014","--is it just me, or is it getting crazier out there?","--is it just me, or is it getting crazier out there?","JOKER","JOKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0015","Despite the laughter, there's real pain in his eyes. Something broken in him. Looks like he hasn't slept in days.","Despite the laughter, there's real pain in his eyes. Something broken in him. Looks like he hasn't slept in days.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0016","It's certainly tense. People are upset, they're struggling. Looking for work. The garbage strike seems like it's been going on forever. These are tough times. (then) How 'bout you. How's the job? Still enjoying it?","It's certainly tense. People are upset, they're struggling. Looking for work. The garbage strike seems like it's been going on forever. These are tough times. How 'bout you. How's the job? Still enjoying it?","SOCIAL WORKER","SOCIAL WORKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0017","Yeah, I mean, it's different each day, so I really like that. I don't think I could ever work in an office. Behind a desk.","Yeah, I mean, it's different each day, so I really like that. I don't think I could ever work in an office. Behind a desk.","JOKER","JOKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0018","(beat) No offense.","No offense.","JOKER (CONT'D)","JOKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0019","She smiles. Writes something down. Looks at the clock, she's running late for her next appointment.","She smiles. Writes something down. Looks at the clock, she's running late for her next appointment.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0020","Have you been keeping up with your journal?","Have you been keeping up with your journal?","SOCIAL WORKER","SOCIAL WORKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0021","Everyday.","Everyday.","JOKER","JOKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0022","Great. Did you bring it with you?","Great. Did you bring it with you?","SOCIAL WORKER","SOCIAL WORKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0023","Beat.","Beat.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0024","(dodging the subject) I'm sorry. Did I bring what?","I'm sorry. Did I bring what?","JOKER","JOKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0025","(impatient; she doesn't have time for this) Arthur, last time I asked you to bring your journal with you. For these appointments. Do you have it?","Arthur, last time I asked you to bring your journal with you. For these appointments. Do you have it?","SOCIAL WORKER","SOCIAL WORKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0026","Yes ma'am.","Yes ma'am.","JOKER","JOKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0027","Beat.","Beat.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0028","Can I see it?","Can I see it?","SOCIAL WORKER","SOCIAL WORKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0029","He reluctantly reaches into his bag. Pulls out a weathered notebook. Slides it across to her--","He reluctantly reaches into his bag. Pulls out a weathered notebook. Slides it across to her--","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0030","I've been using it as a journal, but also a joke diary. Funny thoughts or, or observations-- Did I tell you I'm pursuing a career in stand-up comedy?","I've been using it as a journal, but also a joke diary. Funny thoughts or, or observations-- Did I tell you I'm pursuing a career in stand-up comedy?","JOKER","JOKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0031","She's half-listening as she flips through his journal.","She's half-listening as she flips through his journal.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0032","No. You didn't.","No. You didn't.","SOCIAL WORKER","SOCIAL WORKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0033","I think I did.","I think I did.","JOKER","JOKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0034","She doesn't respond, keeps flipping through his journal--","She doesn't respond, keeps flipping through his journal--","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0035","Oh yeah. Because of what your mother said,-- about your purpose. ""To bring laughter and joy to the world,"" right?","Oh yeah. Because of what your mother said,-- about your purpose. ""To bring laughter and joy to the world,"" right?","SOCIAL WORKER","SOCIAL WORKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
